Name,Type,FDC ID,Protein (g),Total Fat (g),Carbs (g),Calories (kcal),Sugars (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Copper (mg),Selenium (mcg),Vitamin A (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin C (mg),Vitamin B-1 (mg),Vitamin B-2 (mg),Vitamin B-3 (mg),Vitamin B-6 (mg),Folate (mcg),Vitamin B-12 (mcg),Vitamin K (mcg),Cholesterol (mg),Saturated Fat (g),Omega-3 EPA (g),Monounsaturated Fat (g),Polyunsaturated Fat (g)
"Rice, brown, with dark green vegetables, fat added",N/A,2709054,2.67,2.67,21.1,120.0,0.48,1.7,12.0,0.58,35.0,94.0,131.0,164.0,0.64,0.094,4.8,2.0,0.51,0.0,16.6,0.152,0.077,2.11,0.132,19.0,0.0,23.9,0.0,0.456,0.0,1.07,0.996
"Rice, brown, with dark green vegetables, no added fat",N/A,2709053,2.72,0.84,21.5,105.0,0.49,1.8,13.0,0.59,35.0,96.0,134.0,167.0,0.65,0.096,4.9,2.0,0.17,0.0,17.0,0.155,0.078,2.15,0.134,19.0,0.0,22.4,0.0,0.213,0.0,0.292,0.292
"Rice, brown, with gravy, NS as to fat",N/A,2709104,2.11,3.08,19.3,114.0,0.25,1.1,5.0,0.42,28.0,77.0,72.0,252.0,0.52,0.079,4.1,0.0,0.46,0.0,0.0,0.131,0.063,1.86,0.093,7.0,0.0,2.0,1.0,0.585,0.0,1.25,1.01
"Rice, brown, with gravy, fat added",N/A,2709106,2.11,3.08,19.3,114.0,0.25,1.1,5.0,0.42,28.0,77.0,72.0,252.0,0.52,0.079,4.1,0.0,0.46,0.0,0.0,0.131,0.063,1.86,0.093,7.0,0.0,2.0,1.0,0.585,0.0,1.25,1.01
"Rice, brown, with gravy, no added fat",N/A,2709105,2.14,1.44,19.6,101.0,0.26,1.2,5.0,0.42,28.0,79.0,73.0,256.0,0.52,0.08,4.2,0.0,0.15,0.0,0.0,0.133,0.064,1.89,0.094,7.0,0.0,0.3,1.0,0.369,0.0,0.558,0.377
"Rice, brown, with other vegetables, NS as to fat",N/A,2709068,2.4,2.64,21.5,119.0,0.94,1.6,7.0,0.52,33.0,86.0,108.0,157.0,0.59,0.097,4.6,3.0,0.54,0.0,5.5,0.148,0.063,2.06,0.127,11.0,0.0,5.2,0.0,0.454,0.0,1.07,1.01
"Rice, brown, with other vegetables, fat added",N/A,2709070,2.4,2.64,21.5,119.0,0.94,1.6,7.0,0.52,33.0,86.0,108.0,157.0,0.59,0.097,4.6,3.0,0.54,0.0,5.5,0.148,0.063,2.06,0.127,11.0,0.0,5.2,0.0,0.454,0.0,1.07,1.01
"Rice, brown, with other vegetables, no added fat",N/A,2709069,2.45,0.81,21.9,105.0,0.96,1.6,8.0,0.53,34.0,88.0,110.0,160.0,0.6,0.099,4.7,3.0,0.19,0.0,5.6,0.15,0.064,2.1,0.129,11.0,0.0,3.4,0.0,0.212,0.0,0.294,0.307
"Rice, brown, with peas and carrots, NS as to fat",N/A,2709046,2.73,2.66,22.0,123.0,1.08,2.0,8.0,0.64,33.0,90.0,99.0,195.0,0.64,0.101,4.6,99.0,0.56,0.0,1.3,0.17,0.068,2.17,0.115,14.0,0.0,6.1,0.0,0.451,0.0,1.07,1.02
"Rice, brown, with peas and carrots, fat added",N/A,2709048,2.73,2.66,22.0,123.0,1.08,2.0,8.0,0.64,33.0,90.0,99.0,195.0,0.64,0.101,4.6,99.0,0.56,0.0,1.3,0.17,0.068,2.17,0.115,14.0,0.0,6.1,0.0,0.451,0.0,1.07,1.02
"Rice, brown, with peas and carrots, no added fat",N/A,2709047,2.78,0.84,22.4,109.0,1.1,2.1,9.0,0.64,34.0,92.0,101.0,198.0,0.66,0.103,4.7,101.0,0.21,0.0,1.3,0.174,0.07,2.21,0.118,14.0,0.0,4.3,0.0,0.209,0.0,0.292,0.318
"Rice, brown, with peas, NS as to fat",N/A,2709040,3.18,2.64,22.6,127.0,1.1,2.2,8.0,0.75,35.0,95.0,89.0,171.0,0.69,0.103,4.7,22.0,0.49,0.0,2.1,0.196,0.074,2.28,0.118,19.0,0.0,7.0,0.0,0.456,0.0,1.07,1.02
"Rice, brown, with peas, fat added",N/A,2709042,3.18,2.64,22.6,127.0,1.1,2.2,8.0,0.75,35.0,95.0,89.0,171.0,0.69,0.103,4.7,22.0,0.49,0.0,2.1,0.196,0.074,2.28,0.118,19.0,0.0,7.0,0.0,0.456,0.0,1.07,1.02
"Rice, brown, with peas, no added fat",N/A,2709041,3.24,0.82,23.1,113.0,1.12,2.2,8.0,0.76,35.0,97.0,91.0,174.0,0.7,0.105,4.8,22.0,0.14,0.0,2.1,0.2,0.075,2.32,0.12,20.0,0.0,5.3,0.0,0.214,0.0,0.294,0.314
"Rice, brown, with soy-based sauce, NS as to fat",N/A,2709107,2.14,2.42,20.6,114.0,1.25,1.1,4.0,0.43,29.0,76.0,69.0,420.0,0.51,0.078,4.3,0.0,0.45,0.0,0.0,0.125,0.052,1.84,0.089,7.0,0.01,1.8,0.0,0.439,0.0,0.992,0.899
"Rice, brown, with soy-based sauce, fat added",N/A,2709109,2.14,2.42,20.6,114.0,1.25,1.1,4.0,0.43,29.0,76.0,69.0,420.0,0.51,0.078,4.3,0.0,0.45,0.0,0.0,0.125,0.052,1.84,0.089,7.0,0.01,1.8,0.0,0.439,0.0,0.992,0.899
"Rice, brown, with soy-based sauce, no added fat",N/A,2709108,2.17,0.77,20.9,100.0,1.27,1.2,4.0,0.43,29.0,78.0,70.0,428.0,0.52,0.079,4.4,0.0,0.14,0.0,0.0,0.127,0.053,1.87,0.09,7.0,0.01,0.2,0.0,0.221,0.0,0.292,0.265
"Rice, brown, with tomatoes and/or tomato based sauce, NS as to fat",N/A,2709049,2.13,2.41,18.8,105.0,0.89,1.7,12.0,0.55,30.0,76.0,114.0,174.0,0.53,0.088,4.2,6.0,0.6,0.0,3.6,0.287,0.064,1.98,0.117,9.0,0.0,2.6,0.0,0.413,0.0,0.973,0.922
"Rice, brown, with tomatoes and/or tomato based sauce, fat added",N/A,2709051,2.13,2.41,18.8,105.0,0.89,1.7,12.0,0.55,30.0,76.0,114.0,174.0,0.53,0.088,4.2,6.0,0.6,0.0,3.6,0.287,0.064,1.98,0.117,9.0,0.0,2.6,0.0,0.413,0.0,0.973,0.922
"Rice, brown, with tomatoes and/or tomato based sauce, no added fat",N/A,2709050,2.16,0.76,19.1,92.0,0.91,1.7,12.0,0.56,30.0,78.0,116.0,177.0,0.54,0.09,4.3,6.0,0.29,0.0,3.6,0.292,0.065,2.02,0.119,9.0,0.0,0.9,0.0,0.194,0.0,0.272,0.288
"Rice, brown, with vegetables and gravy, NS as to fat",N/A,2709122,2.24,2.56,18.2,105.0,0.76,1.7,9.0,0.49,27.0,73.0,89.0,213.0,0.51,0.08,3.5,38.0,0.45,0.0,0.6,0.12,0.073,1.68,0.089,9.0,0.0,5.8,1.0,0.486,0.0,1.03,0.842
"Rice, brown, with vegetables and gravy, fat added",N/A,2709124,2.24,2.56,18.2,105.0,0.76,1.7,9.0,0.49,27.0,73.0,89.0,213.0,0.51,0.08,3.5,38.0,0.45,0.0,0.6,0.12,0.073,1.68,0.089,9.0,0.0,5.8,1.0,0.486,0.0,1.03,0.842
"Rice, brown, with vegetables and gravy, no added fat",N/A,2709123,2.27,1.21,18.4,94.0,0.77,1.7,9.0,0.49,27.0,74.0,90.0,216.0,0.52,0.081,3.5,39.0,0.19,0.0,0.6,0.122,0.074,1.7,0.091,9.0,0.0,4.5,1.0,0.308,0.0,0.459,0.322
"Rice, brown, with vegetables, cheese and/or cream based sauce, NS as to fat",N/A,2709119,4.51,5.47,18.2,140.0,0.74,1.7,80.0,0.55,31.0,122.0,113.0,238.0,0.79,0.08,4.9,57.0,0.44,0.2,0.7,0.124,0.118,1.66,0.094,11.0,0.08,5.9,9.0,2.24,0.0,1.91,1.08
"Rice, brown, with vegetables, cheese and/or cream based sauce, fat added",N/A,2709121,4.51,5.47,18.2,140.0,0.74,1.7,80.0,0.55,31.0,122.0,113.0,238.0,0.79,0.08,4.9,57.0,0.44,0.2,0.7,0.124,0.118,1.66,0.094,11.0,0.08,5.9,9.0,2.24,0.0,1.91,1.08
"Rice, brown, with vegetables, cheese and/or cream based sauce, no added fat",N/A,2709120,4.57,4.17,18.4,130.0,0.74,1.7,81.0,0.56,31.0,124.0,114.0,241.0,0.8,0.081,5.0,58.0,0.19,0.2,0.7,0.126,0.12,1.68,0.095,11.0,0.08,4.6,9.0,2.08,0.0,1.35,0.559
"Rice, brown, with vegetables, soy-based sauce, NS as to fat",N/A,2709125,2.27,2.02,19.2,105.0,1.58,1.7,8.0,0.5,28.0,72.0,87.0,352.0,0.5,0.079,3.6,38.0,0.44,0.0,0.6,0.115,0.064,1.67,0.086,9.0,0.01,5.7,0.0,0.367,0.0,0.817,0.752
"Rice, brown, with vegetables, soy-based sauce, fat added",N/A,2709127,2.27,2.02,19.2,105.0,1.58,1.7,8.0,0.5,28.0,72.0,87.0,352.0,0.5,0.079,3.6,38.0,0.44,0.0,0.6,0.115,0.064,1.67,0.086,9.0,0.01,5.7,0.0,0.367,0.0,0.817,0.752
"Rice, brown, with vegetables, soy-based sauce, no added fat",N/A,2709126,2.3,0.66,19.5,94.0,1.6,1.7,8.0,0.5,28.0,73.0,88.0,357.0,0.51,0.08,3.7,39.0,0.18,0.0,0.6,0.117,0.065,1.69,0.087,9.0,0.01,4.4,0.0,0.186,0.0,0.241,0.23
"Rice, cooked with coconut milk",N/A,2709032,3.57,17.2,26.6,267.0,3.34,1.9,19.0,2.34,33.0,103.0,219.0,182.0,0.78,0.25,8.5,0.0,0.14,0.0,1.3,0.17,0.013,1.68,0.062,72.0,0.0,0.1,0.0,15.2,0.0,0.781,0.235
"Rice, cooked, NFS",N/A,2708402,2.67,0.28,28.0,129.0,0.05,0.4,10.0,1.19,12.0,43.0,35.0,245.0,0.49,0.069,7.5,0.0,0.04,0.0,0.0,0.162,0.013,1.47,0.092,58.0,0.0,0.0,0.0,0.077,0.0,0.087,0.076
"Rice, cooked, with milk",N/A,2708416,5.13,2.31,25.0,144.0,4.91,0.3,133.0,1.03,18.0,130.0,183.0,357.0,0.7,0.054,5.7,58.0,0.06,1.1,0.0,0.159,0.148,1.17,0.085,42.0,0.31,0.2,9.0,1.29,0.0,0.509,0.115
"Rice, fried, NFS",N/A,2708952,3.84,3.19,32.5,174.0,0.62,1.1,11.0,0.46,10.0,44.0,69.0,361.0,0.69,0.086,8.3,22.0,0.13,0.0,3.8,0.015,0.026,0.637,0.032,6.0,0.0,2.8,18.0,0.493,0.0,0.588,1.13
"Rice, fried, meatless",N/A,2708951,3.84,3.19,32.5,174.0,0.62,1.1,11.0,0.46,10.0,44.0,69.0,361.0,0.69,0.086,8.3,22.0,0.13,0.0,3.8,0.015,0.026,0.637,0.032,6.0,0.0,2.8,18.0,0.493,0.0,0.588,1.13
"Rice, fried, with beef",N/A,2708955,7.86,4.06,27.6,178.0,0.53,0.9,10.0,0.77,12.0,66.0,96.0,313.0,1.37,0.084,11.8,19.0,0.18,0.0,3.2,0.023,0.047,1.34,0.088,7.0,0.26,2.6,29.0,0.931,0.0,1.08,1.02
"Rice, fried, with chicken",N/A,2708953,7.28,3.66,27.6,173.0,0.53,0.9,12.0,0.5,12.0,73.0,100.0,359.0,0.83,0.083,10.6,20.0,0.17,0.0,3.2,0.023,0.049,1.68,0.064,7.0,0.06,2.4,32.0,0.656,0.0,0.906,1.1
"Rice, fried, with pork",N/A,2708954,7.56,4.16,27.6,179.0,0.53,0.9,12.0,0.55,13.0,75.0,122.0,316.0,0.97,0.082,12.3,19.0,0.14,0.1,3.3,0.165,0.071,1.42,0.11,5.0,0.11,2.4,27.0,0.946,0.0,1.15,1.07
"Rice, fried, with shrimp",N/A,2708956,6.68,2.97,27.8,166.0,0.53,0.9,23.0,0.44,14.0,83.0,84.0,324.0,0.83,0.112,14.5,32.0,0.44,0.0,3.2,0.018,0.026,0.943,0.064,9.0,0.25,2.4,47.0,0.497,0.02,0.554,1.05
"Rice, sweet, cooked with honey",N/A,2708417,2.52,0.26,31.1,139.0,4.89,0.4,10.0,1.14,11.0,40.0,36.0,344.0,0.47,0.066,7.0,0.0,0.04,0.0,0.0,0.152,0.014,1.38,0.088,54.0,0.0,0.0,0.0,0.072,0.0,0.082,0.071
"Rice, white and wild, cooked, NS as to fat",N/A,2708429,2.17,2.14,20.6,112.0,0.13,0.5,11.0,0.98,14.0,41.0,41.0,510.0,0.5,0.076,3.4,20.0,0.28,0.1,0.0,0.105,0.02,1.2,0.05,38.0,0.0,2.3,0.0,0.412,0.0,0.99,0.653
"Rice, white and wild, cooked, fat added",N/A,2708428,2.17,2.14,20.6,112.0,0.13,0.5,11.0,0.98,14.0,41.0,41.0,510.0,0.5,0.076,3.4,20.0,0.28,0.1,0.0,0.105,0.02,1.2,0.05,38.0,0.0,2.3,0.0,0.412,0.0,0.99,0.653
"Rice, white and wild, cooked, no added fat",N/A,2708426,1.82,0.16,17.2,79.0,0.11,0.5,9.0,0.81,12.0,34.0,34.0,401.0,0.42,0.063,2.9,0.0,0.05,0.0,0.0,0.087,0.016,1.0,0.041,32.0,0.0,0.1,0.0,0.038,0.0,0.043,0.056
"Rice, white, cooked with fat, Puerto Rican style",N/A,2708432,2.84,6.3,31.9,200.0,0.05,0.5,14.0,1.64,11.0,44.0,44.0,506.0,0.44,0.091,6.0,0.0,1.19,0.0,0.0,0.184,0.018,1.67,0.062,65.0,0.0,6.1,0.0,0.879,0.0,2.64,2.39
"Rice, white, cooked, NS as to fat",N/A,2708403,2.67,0.28,28.0,129.0,0.05,0.4,10.0,1.19,12.0,43.0,35.0,244.0,0.49,0.069,7.5,0.0,0.04,0.0,0.0,0.162,0.013,1.47,0.092,58.0,0.0,0.0,0.0,0.077,0.0,0.087,0.076
"Rice, white, cooked, as ingredient",N/A,2710788,2.54,0.37,29.0,130.0,0.04,0.0,4.0,1.25,11.0,37.0,28.0,3.0,0.5,0.081,2.4,0.0,0.04,0.0,0.0,0.019,0.026,0.517,0.02,70.0,0.0,0.0,0.0,0.065,0.0,0.074,0.064
"Rice, white, cooked, fat added, NS as to fat type",N/A,2708407,2.6,2.77,27.2,148.0,0.05,0.4,10.0,1.16,12.0,42.0,34.0,246.0,0.47,0.067,7.2,11.0,0.41,0.0,0.0,0.157,0.013,1.42,0.106,56.0,0.0,2.1,2.0,0.728,0.0,0.972,0.79
"Rice, white, cooked, glutinous",N/A,2708422,2.01,0.19,21.0,96.0,0.05,1.0,2.0,0.14,5.0,8.0,10.0,227.0,0.41,0.049,5.6,0.0,0.04,0.0,0.0,0.02,0.013,0.288,0.026,1.0,0.0,0.0,0.0,0.039,0.0,0.07,0.069
"Rice, white, cooked, made with butter",N/A,2708405,2.62,2.61,27.2,147.0,0.06,0.4,11.0,1.16,12.0,42.0,34.0,253.0,0.48,0.067,7.2,22.0,0.04,0.0,0.0,0.157,0.013,1.42,0.09,56.0,0.0,0.2,7.0,1.38,0.001,0.567,0.145
"Rice, white, cooked, made with margarine",N/A,2708406,2.6,2.12,27.2,142.0,0.05,0.4,10.0,1.16,12.0,42.0,35.0,258.0,0.47,0.067,7.2,23.0,0.55,0.1,0.0,0.158,0.013,1.42,0.17,56.0,0.0,2.8,0.0,0.441,0.0,0.776,0.813
"Rice, white, cooked, made with oil",N/A,2708404,2.6,3.12,27.2,151.0,0.05,0.4,10.0,1.16,12.0,42.0,34.0,238.0,0.47,0.067,7.2,0.0,0.58,0.0,0.0,0.157,0.013,1.42,0.09,56.0,0.0,2.9,0.0,0.455,0.0,1.29,1.17
"Rice, white, cooked, no added fat",N/A,2708408,2.67,0.28,28.0,129.0,0.05,0.4,10.0,1.19,12.0,43.0,35.0,245.0,0.49,0.069,7.5,0.0,0.04,0.0,0.0,0.162,0.013,1.47,0.092,58.0,0.0,0.0,0.0,0.077,0.0,0.087,0.076
"Rice, white, with carrots and dark green vegetables, NS as to fat",N/A,2709020,2.38,2.44,22.5,124.0,0.62,0.9,17.0,1.01,13.0,43.0,91.0,193.0,0.44,0.06,5.8,104.0,0.58,0.0,9.9,0.136,0.028,1.24,0.108,51.0,0.0,16.2,0.0,0.356,0.0,0.988,0.904
"Rice, white, with carrots and dark green vegetables, fat added",N/A,2709022,2.38,2.44,22.5,124.0,0.62,0.9,17.0,1.01,13.0,43.0,91.0,193.0,0.44,0.06,5.8,104.0,0.58,0.0,9.9,0.136,0.028,1.24,0.108,51.0,0.0,16.2,0.0,0.356,0.0,0.988,0.904
"Rice, white, with carrots and dark green vegetables, no added fat",N/A,2709021,2.44,0.28,23.0,107.0,0.64,1.0,17.0,1.03,13.0,44.0,93.0,197.0,0.44,0.061,5.9,106.0,0.18,0.0,10.1,0.139,0.029,1.27,0.11,52.0,0.0,14.3,0.0,0.067,0.0,0.068,0.07
"Rice, white, with carrots and tomatoes and/or tomato-based sauce, NS as to fat",N/A,2709014,2.07,2.29,20.9,114.0,0.87,0.9,16.0,0.97,11.0,36.0,84.0,196.0,0.38,0.058,5.4,100.0,0.63,0.0,2.6,0.22,0.024,1.21,0.101,43.0,0.0,4.0,0.0,0.334,0.0,0.929,0.86
"Rice, white, with carrots and tomatoes and/or tomato-based sauce, fat added",N/A,2709016,2.07,2.29,20.9,114.0,0.87,0.9,16.0,0.97,11.0,36.0,84.0,196.0,0.38,0.058,5.4,100.0,0.63,0.0,2.6,0.22,0.024,1.21,0.101,43.0,0.0,4.0,0.0,0.334,0.0,0.929,0.86
"Rice, white, with carrots and tomatoes and/or tomato-based sauce, no added fat",N/A,2709015,2.12,0.26,21.3,98.0,0.89,1.0,17.0,0.98,11.0,37.0,86.0,200.0,0.39,0.06,5.5,102.0,0.25,0.0,2.7,0.224,0.024,1.24,0.103,44.0,0.0,2.0,0.0,0.064,0.0,0.07,0.082
"Rice, white, with carrots, NS as to fat",N/A,2709002,2.16,2.42,22.6,123.0,0.86,1.0,15.0,0.96,11.0,39.0,82.0,195.0,0.41,0.055,5.7,205.0,0.69,0.0,0.9,0.135,0.02,1.24,0.105,46.0,0.0,5.5,0.0,0.353,0.0,0.984,0.909
"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, NS as to fat",N/A,2709023,2.26,2.28,20.8,115.0,0.74,1.0,18.0,0.99,12.0,41.0,97.0,189.0,0.41,0.061,5.4,67.0,0.57,0.0,10.4,0.189,0.031,1.2,0.107,48.0,0.0,14.8,0.0,0.331,0.0,0.916,0.842
"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",N/A,2709025,2.25,2.35,21.4,118.0,0.71,0.9,17.0,1.0,12.0,40.0,89.0,194.0,0.41,0.061,5.5,69.0,0.58,0.0,7.9,0.193,0.028,1.22,0.104,47.0,0.0,11.5,0.0,0.341,0.0,0.948,0.872
"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",N/A,2709024,2.3,0.27,21.8,101.0,0.73,0.9,17.0,1.01,12.0,41.0,91.0,198.0,0.42,0.062,5.7,70.0,0.19,0.0,8.1,0.197,0.028,1.25,0.106,48.0,0.0,9.6,0.0,0.065,0.0,0.069,0.075
"Rice, white, with carrots, fat added",N/A,2709004,2.16,2.42,22.6,123.0,0.86,1.0,15.0,0.97,11.0,39.0,82.0,195.0,0.41,0.055,5.7,204.0,0.69,0.0,0.9,0.135,0.02,1.24,0.105,46.0,0.0,5.5,0.0,0.353,0.0,0.984,0.909
"Rice, white, with carrots, no added fat",N/A,2709003,2.2,0.25,23.1,106.0,0.88,1.0,15.0,0.98,11.0,40.0,84.0,199.0,0.42,0.056,5.8,209.0,0.28,0.0,0.9,0.138,0.021,1.26,0.107,47.0,0.0,3.4,0.0,0.065,0.0,0.067,0.079
"Rice, white, with cheese and/or cream based sauce, NS as to fat",N/A,2709092,5.16,7.03,20.0,166.0,0.1,0.3,110.0,0.89,14.0,104.0,70.0,322.0,0.73,0.051,7.0,27.0,0.42,0.3,0.2,0.12,0.089,1.02,0.075,41.0,0.12,2.2,13.0,2.96,0.0,2.43,1.24
"Rice, white, with cheese and/or cream based sauce, fat added",N/A,2709094,5.16,7.03,20.0,166.0,0.1,0.3,110.0,0.89,14.0,104.0,70.0,322.0,0.73,0.051,7.0,27.0,0.42,0.3,0.2,0.12,0.089,1.02,0.075,41.0,0.12,2.2,13.0,2.96,0.0,2.43,1.24
"Rice, white, with cheese and/or cream based sauce, no added fat",N/A,2709093,5.26,5.22,20.4,152.0,0.1,0.3,112.0,0.91,14.0,106.0,71.0,328.0,0.75,0.052,7.2,28.0,0.06,0.3,0.2,0.122,0.091,1.04,0.076,42.0,0.12,0.3,13.0,2.76,0.0,1.66,0.521
"Rice, white, with corn, NS as to fat",N/A,2708996,2.58,2.5,25.2,134.0,0.81,0.9,8.0,0.99,16.0,51.0,84.0,178.0,0.51,0.062,5.6,3.0,0.45,0.0,0.9,0.125,0.025,1.4,0.092,51.0,0.0,2.2,0.0,0.367,0.0,1.02,0.955
"Rice, white, with corn, fat added",N/A,2708998,2.58,2.5,25.2,134.0,0.81,0.9,8.0,0.99,16.0,51.0,84.0,178.0,0.51,0.062,5.6,3.0,0.45,0.0,0.9,0.125,0.025,1.4,0.092,51.0,0.0,2.2,0.0,0.367,0.0,1.02,0.955
"Rice, white, with corn, no added fat",N/A,2708997,2.64,0.38,25.8,117.0,0.83,0.9,8.0,1.01,16.0,52.0,86.0,182.0,0.52,0.063,5.7,3.0,0.05,0.0,0.9,0.128,0.026,1.43,0.094,52.0,0.0,0.1,0.0,0.083,0.0,0.116,0.138
